26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.562450E+3	-1.179000E+2	-2.978000E+2	1.562450E+3	-8.545000E+1	-2.650500E+2	1.562450E+3	-1.627000E+2	-3.424000E+2
1.562500E+3	-1.156000E+2	-2.955000E+2	1.562500E+3	-8.488000E+1	-2.644800E+2	1.562500E+3	-1.603000E+2	-3.400000E+2
1.562550E+3	-1.114000E+2	-2.913000E+2	1.562550E+3	-8.102000E+1	-2.606200E+2	1.562550E+3	-1.545000E+2	-3.342000E+2
1.562600E+3	-1.106000E+2	-2.905000E+2	1.562600E+3	-8.042000E+1	-2.600200E+2	1.562600E+3	-1.530000E+2	-3.327000E+2
1.562650E+3	-1.113000E+2	-2.912000E+2	1.562650E+3	-8.202000E+1	-2.616200E+2	1.562650E+3	-1.518000E+2	-3.315000E+2
1.562700E+3	-1.070000E+2	-2.869000E+2	1.562700E+3	-7.864000E+1	-2.582400E+2	1.562700E+3	-1.452000E+2	-3.249000E+2
1.562750E+3	-1.055000E+2	-2.854000E+2	1.562750E+3	-7.820000E+1	-2.578000E+2	1.562750E+3	-1.407000E+2	-3.204000E+2
1.562800E+3	-1.031000E+2	-2.830000E+2	1.562800E+3	-7.680000E+1	-2.564000E+2	1.562800E+3	-1.347000E+2	-3.144000E+2
1.562850E+3	-9.960000E+1	-2.795000E+2	1.562850E+3	-7.381000E+1	-2.534100E+2	1.562850E+3	-1.288000E+2	-3.085000E+2
1.562900E+3	-9.713000E+1	-2.770300E+2	1.562900E+3	-7.217000E+1	-2.517700E+2	1.562900E+3	-1.249000E+2	-3.046000E+2
1.562950E+3	-9.439000E+1	-2.742900E+2	1.562950E+3	-6.909000E+1	-2.486900E+2	1.562950E+3	-1.201000E+2	-2.998000E+2
1.563000E+3	-9.118000E+1	-2.710800E+2	1.563000E+3	-6.641000E+1	-2.460100E+2	1.563000E+3	-1.151000E+2	-2.948000E+2
1.563050E+3	-8.998000E+1	-2.698800E+2	1.563050E+3	-6.459000E+1	-2.441900E+2	1.563050E+3	-1.119000E+2	-2.916000E+2
